City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Rosarito,MX,22.45,overcast clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
471,Kayes,ML,29.12,overcast clouds,14.0,-11.0,
472,Sorong,ID,24.53,light rain,-0.8833,131.25,Waigo Splash Hotel
475,Poum,NC,27.38,overcast clouds,-20.2333,164.0167,Gîte kajeon
477,Yaan,NG,29.39,overcast clouds,7.3833,8.5667,
478,Sao Felix Do Xingu,BR,22.13,broken clouds,-6.6447,-51.995,Rio Xingu Camping
481,Fonte Boa,BR,24.57,overcast clouds,-2.4959,-66.2662,
484,Brokopondo,SR,24.54,broken clouds,4.75,-55.1667,Matu Island
490,Mega,ET,20.1,overcast clouds,4.05,38.3,Amanuel Guest House
492,Takoradi,GH,26.66,broken clouds,4.8845,-1.7554,Raybow International Hotel
493,Yulara,AU,21.91,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
495,Guerrero Negro,MX,20.94,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
499,Birao,CF,22.04,broken clouds,10.2849,22.7882,
501,Pires Do Rio,BR,22.03,overcast clouds,-17.2997,-48.2794,Hotel Goiano - Pires do Rio
502,Banda Aceh,ID,24.95,broken clouds,5.5577,95.3222,Sulthan Hotel International
504,Port Blair,IN,25.58,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
505,Santa Isabel Do Rio Negro,BR,23.99,overcast clouds,-0.4139,-65.0192,Hotel GSA
506,Saint-Pierre,RE,25.82,clear sky,-21.3393,55.4781,Lindsey Hôtel
513,Ixtapa,MX,25.57,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
514,Tibu,CO,27.38,broken clouds,8.639,-72.7358,Hotel Yuliana's
515,Axim,GH,26.36,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
519,Kununurra,AU,25.99,broken clouds,-15.7667,128.7333,Hotel Kununurra
521,Micheweni,TZ,26.53,overcast clouds,-4.9667,39.8333,
522,Manado,ID,23.43,moderate rain,1.487,124.8455,Aryaduta Hotel
527,Chicama,PE,21.3,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
531,Antalaha,MG,23.89,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
535,Wanaka,NZ,20.06,overcast clouds,-44.7,169.15,Wanaka Homestead Lodge and Cottages
536,Ciudad Bolivar,VE,28.42,overcast clouds,8.1222,-63.5497,Hotel Edi
540,Kundiawa,PG,20.11,overcast clouds,-6.0167,144.9667,Pari
544,Baiao,BR,26.25,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
546,Agnibilekrou,CI,23.9,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
552,Kampot,KH,23.03,broken clouds,10.6167,104.1833,Two Moons Hotel
553,Hatillo,PR,26.88,few clouds,18.4863,-66.8254,Hotel Parador El Buen Café
556,Richards Bay,ZA,23.06,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
562,Aquiraz,BR,26.79,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
567,Ko Samui,TH,26.68,broken clouds,9.5357,99.9357,The Passage
572,Balabac,PH,27.1,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
574,Taltal,CL,20.77,clear sky,-25.4,-70.4833,Residencial Karime
578,Pangai,TO,27.8,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
579,Paka,MY,25.96,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
585,Nampula,MZ,22.97,overcast clouds,-15.1165,39.2666,BUTIK Hotel
586,Sumenep,ID,24.92,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
592,Del Rio,US,22.06,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
594,Hobyo,SO,24.91,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
596,Wum,CM,20.29,overcast clouds,6.3833,10.0667,Wum Council Hall
597,Codajas,BR,25.65,light rain,-3.8367,-62.0569,Atlântic Hotel
598,Padang,ID,24.82,broken clouds,-0.9492,100.3543,Mercure Padang
599,Palu,ID,23.8,light rain,-0.8917,119.8707,Hotel Santika Palu
602,Dire,ML,27.55,overcast clouds,12.2833,-10.9667,
603,Posse,BR,21.71,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
604,Grenfell,AU,27.82,broken clouds,-33.9,148.1667,Grenfell Royal Hotel
605,Ilo,PE,21.85,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
606,Tubajon,PH,25.14,broken clouds,10.3317,125.5619,Taganas Beach Resort
608,Black River,JM,27.21,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
611,Antofagasta,CL,22.34,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
619,Madang,PG,26.98,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
620,Rocha,UY,23.83,broken clouds,-34.4833,-54.3333,Hotel Arrarte
621,Sur,OM,20.88,clear sky,22.5667,59.5289,Sur Plaza Hotel
622,Katobu,ID,25.0,overcast clouds,-4.9408,122.5276,La Ode Husein
623,Sao Mateus,BR,24.31,broken clouds,-18.7161,-39.8589,Hotel Rio Norte
624,The Valley,AI,26.08,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
625,Manggar,ID,25.36,overcast clouds,-2.8833,108.2667,Guest Hotel
626,Canutama,BR,24.51,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
