,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Lompoc,US,34.6391,-120.4579,22.05,58,100,1.34,overcast clouds
117,Peterhead,GB,57.5058,-1.7981,8.39,71,96,14.04,overcast clouds
118,Linxia,CN,35.6003,103.2064,-3.52,38,0,0.44,clear sky
119,Port Lincoln,AU,-34.7333,135.8667,18.68,74,100,5.03,overcast clouds
120,Yellowknife,CA,62.456,-114.3525,-23.66,83,75,2.57,broken clouds
121,Okato,NZ,-39.2,173.8833,22.46,50,0,3.33,clear sky
122,Shenjiamen,CN,29.9576,122.298,8.05,77,100,3.5,overcast clouds
123,Portland,US,45.5234,-122.6762,10.25,81,75,0.45,broken clouds
124,Hilo,US,19.7297,-155.09,27.36,74,20,4.12,few clouds
125,Mathathane,BW,-22.2687,28.7495,24.92,60,100,3.79,overcast clouds
126,Santo Domingo,DO,18.5001,-69.9886,27.8,72,20,0.89,few clouds
127,Provideniya,RU,64.3833,-173.3,-15.94,60,0,6.0,clear sky
128,Castro,BR,-24.7911,-50.0119,18.65,96,80,2.04,broken clouds
129,Panzos,GT,15.4,-89.6667,29.51,97,95,1.5,overcast clouds
130,Hobart,AU,-42.8794,147.3294,22.84,64,20,1.34,few clouds
131,Yerofey Pavlovich,RU,53.9667,121.9667,-31.02,96,5,1.38,clear sky
132,Port Alfred,ZA,-33.5906,26.891,22.18,91,98,4.99,overcast clouds
133,Naushki,RU,50.3828,106.1056,-28.24,100,39,0.79,scattered clouds
134,Paita,PE,-5.0892,-81.1144,25.31,79,22,8.38,few clouds
135,Angoche,MZ,-16.2325,39.9086,24.78,89,100,2.37,overcast clouds
136,Bontang,ID,0.1333,117.5,24.17,88,100,3.69,overcast clouds
137,Acajutla,SV,13.5928,-89.8275,35.19,63,10,3.02,clear sky
138,Kamenka,RU,51.3223,42.7678,-9.03,100,97,2.89,overcast clouds
139,Lebu,CL,-37.6167,-73.65,14.4,61,75,6.9,broken clouds
140,Ambon,ID,-3.6954,128.1814,25.08,88,40,2.06,scattered clouds
141,Tiksi,RU,71.6872,128.8694,-31.32,98,38,2.87,scattered clouds
142,Isangel,VU,-19.55,169.2667,27.24,63,3,4.1,clear sky
143,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,25.13,95,100,0.35,moderate rain
144,Lerwick,GB,60.1545,-1.1494,9.0,90,100,7.06,overcast clouds
145,Batemans Bay,AU,-35.7167,150.1833,27.33,67,71,2.1,broken clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,7.42,89,100,8.83,overcast clouds
147,High Rock,BS,26.6208,-78.2833,20.01,87,100,13.78,light rain
148,Nantucket,US,41.2835,-70.0995,-1.1,61,88,6.34,overcast clouds
149,Mont-Dore,NC,-22.2833,166.5833,27.99,99,8,3.67,clear sky
150,Eureka,US,40.8021,-124.1637,15.63,75,49,2.68,scattered clouds
