City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Kibala,TD,2022-01-08 22:14:37,9.1104,18.3463,27.71,24,55,1.95
156,Saint Anthony,US,2022-01-08 22:14:37,45.0205,-93.218,-0.71,76,0,0.89
157,Macapa,BR,2022-01-08 22:14:38,0.0389,-51.0664,24.99,100,75,1.54
158,Bathsheba,BB,2022-01-08 22:14:38,13.2167,-59.5167,25.34,73,75,8.75
159,Tasiilaq,GL,2022-01-08 22:14:39,65.6145,-37.6368,1.09,59,100,7.37
160,Zhicheng,CN,2022-01-08 22:14:40,30.2956,111.5047,6.17,77,90,0.86
161,Bulgan,MN,2022-01-08 22:14:40,48.8125,103.5347,-18.28,93,5,1.8
162,Qaqortoq,GL,2022-01-08 22:14:41,60.7167,-46.0333,-12.72,78,100,1.86
163,Leningradskiy,RU,2022-01-08 22:14:41,69.3833,178.4167,-24.6,96,77,5.21
164,Kamenka,RU,2022-01-08 22:14:41,51.3223,42.7678,-14.58,99,80,2.43
165,Riyadh,SA,2022-01-08 22:14:41,24.6877,46.7219,10.08,28,18,3.46
166,Gamba,GA,2022-01-08 22:14:42,-2.65,10.0,25.09,92,99,1.95
167,Narsaq,GL,2022-01-08 22:14:42,60.9167,-46.05,-12.88,73,100,2.18
168,Tilichiki,RU,2022-01-08 22:14:43,60.4667,166.1,-17.92,86,96,4.22
169,Saint-Augustin,CA,2022-01-08 22:14:43,51.226,-58.6502,-15.47,71,8,10.31
170,Namibe,AO,2022-01-08 22:14:44,-15.1961,12.1522,20.37,74,97,4.15
171,Dikson,RU,2022-01-08 22:14:44,73.5069,80.5464,-15.65,91,100,6.96
172,Los Llanos De Aridane,ES,2022-01-08 22:14:44,28.6585,-17.9182,16.86,75,75,7.15
173,Nha Trang,VN,2022-01-08 22:10:54,12.25,109.1833,22.0,90,9,2.41
174,Kyra,RU,2022-01-08 22:14:45,49.5776,111.9753,-17.62,82,2,1.5
175,Aasiaat,GL,2022-01-08 22:14:46,68.7098,-52.8699,-10.86,92,100,4.72
176,Tiksi,RU,2022-01-08 22:14:46,71.6872,128.8694,-25.06,95,100,2.49
177,Tigil,RU,2022-01-08 22:14:46,57.8,158.6667,-6.34,80,100,4.15
178,Kahului,US,2022-01-08 22:14:46,20.8947,-156.47,29.59,67,0,2.57
179,Hirara,JP,2022-01-08 22:14:47,24.8,125.2833,18.92,88,20,4.63
180,Billings,US,2022-01-08 22:12:34,45.7833,-108.5007,3.29,67,20,6.69
